gene_id	DosaCNV_HI_score
ENSG00000000003	0.012968977
ENSG00000000005	0.18572415
ENSG00000000419	0.07770853
ENSG00000000457	0.017019276
ENSG00000000460	0.03787128
ENSG00000000938	0.3464637
ENSG00000000971	0.14123961
ENSG00000001036	0.0050430493
ENSG00000001084	0.24869019
ENSG00000001167	0.004479583
ENSG00000001460	0.059523765
ENSG00000001461	0.2521726
ENSG00000001497	0.59066707
ENSG00000001561	0.006102223
ENSG00000001617	0.36878863
ENSG00000001626	0.640977
ENSG00000001629	0.21736526
ENSG00000001630	0.10850073
ENSG00000001631	0.44335207
ENSG00000002016	0.005223373
ENSG00000002330	0.003999414
ENSG00000002549	0.011855265
ENSG00000002586	0.0026509548
ENSG00000002587	0.011186124
ENSG00000002726	0.061090298
ENSG00000002745	0.022816643
ENSG00000002746	0.6439236
ENSG00000002822	0.071588315
ENSG00000002834	0.55382377
ENSG00000002919	0.0040180716
ENSG00000002933	0.015064654
ENSG00000003056	0.01634479
ENSG00000003096	0.24022225
ENSG00000003137	0.7662772
ENSG00000003147	0.04211461
ENSG00000003249	0.0023959936
ENSG00000003393	0.8520692
ENSG00000003400	0.02921312
ENSG00000003402	0.35573676
ENSG00000003436	0.0065747933
ENSG00000003509	0.21103387
ENSG00000003756	0.1532402
ENSG00000003987	0.07042392
ENSG00000003989	0.047937814
ENSG00000004059	0.01806528
ENSG00000004139	0.046663605
ENSG00000004142	0.006041661
ENSG00000004399	0.18348211
ENSG00000004455	0.16589072
ENSG00000004468	0.0020682395
ENSG00000004478	0.02960614
ENSG00000004487	0.43285334
ENSG00000004534	0.21280608
ENSG00000004660	0.004359929
ENSG00000004700	0.07885655
ENSG00000004766	0.39343032
ENSG00000004776	0.006288815
ENSG00000004777	0.0032313955
ENSG00000004779	0.020049164
ENSG00000004799	0.008496085
ENSG00000004809	0.020122042
ENSG00000004838	0.20085049
ENSG00000004846	0.0084628025
ENSG00000004848	0.7712068
ENSG00000004864	0.18675257
ENSG00000004866	0.42041183
ENSG00000004897	0.30769983
ENSG00000004939	0.6440798
ENSG00000004948	0.012380643
ENSG00000004961	0.45168465
ENSG00000004975	0.14057332
ENSG00000005001	0.022500344
ENSG00000005007	0.8199162
ENSG00000005020	0.07545911
