Ensembl_gene_ID,HGNC_symbol,DosaCNV_HI_score,rank,percentile
ENSG00000007372,PAX6,0.98426723,1,4.93388592855733e-05
ENSG00000109339,MAPK10,0.9741058,2,9.86777185711466e-05
ENSG00000106511,MEOX2,0.97022986,3,0.00014801657785672
ENSG00000145362,ANK2,0.9544889,4,0.000197355437142293
ENSG00000144285,SCN1A,0.9504134,5,0.000246694296427867
ENSG00000075043,KCNQ2,0.941213,6,0.00029603315571344
ENSG00000196628,TCF4,0.9406178,7,0.000345372014999013
ENSG00000127990,SGCE,0.9401162,8,0.000394710874284587
ENSG00000141837,CACNA1A,0.93957126,9,0.00044404973357016
ENSG00000109654,TRIM2,0.93752563,10,0.000493388592855733
ENSG00000077782,FGFR1,0.93446034,11,0.000542727452141307
ENSG00000138795,LEF1,0.93396676,12,0.00059206631142688
ENSG00000136531,SCN2A,0.9337683,13,0.000641405170712453
ENSG00000196092,PAX5,0.93187773,14,0.000690744029998026
ENSG00000123560,PLP1,0.93091357,15,0.0007400828892836
ENSG00000138757,G3BP2,0.92997247,16,0.000789421748569173
ENSG00000186487,MYT1L,0.9273719,17,0.000838760607854746
ENSG00000136931,NR5A1,0.9271836,18,0.00088809946714032
ENSG00000156113,KCNMA1,0.9266447,19,0.000937438326425893
ENSG00000080503,SMARCA2,0.9240487,20,0.000986777185711466
ENSG00000129159,KCNC1,0.9227237,21,0.00103611604499704
ENSG00000066468,FGFR2,0.9217713,22,0.00108545490428261
ENSG00000105409,ATP1A3,0.92162347,23,0.00113479376356819
ENSG00000179915,NRXN1,0.9215567,24,0.00118413262285376
ENSG00000135486,HNRNPA1,0.9214054,25,0.00123347148213933
ENSG00000168610,STAT3,0.9187465,26,0.00128281034142491
ENSG00000198216,CACNA1E,0.9172578,27,0.00133214920071048
ENSG00000039600,SOX30,0.9159999,28,0.00138148805999605
ENSG00000135903,PAX3,0.9154897,29,0.00143082691928163
ENSG00000165588,OTX2,0.9146773,30,0.0014801657785672
ENSG00000137203,TFAP2A,0.91444176,31,0.00152950463785277
ENSG00000151067,CACNA1C,0.9144089,32,0.00157884349713835
ENSG00000196876,SCN8A,0.91407317,33,0.00162818235642392
ENSG00000183072,NKX2-5,0.9135602,34,0.00167752121570949
ENSG00000185760,KCNQ5,0.91332316,35,0.00172686007499507
ENSG00000108231,LGI1,0.91321546,36,0.00177619893428064
ENSG00000165699,TSC1,0.9130689,37,0.00182553779356621
ENSG00000157103,SLC6A1,0.91295606,38,0.00187487665285179
ENSG00000082898,XPO1,0.9117168,39,0.00192421551213736
ENSG00000179348,GATA2,0.91154,40,0.00197355437142293
ENSG00000087258,GNAO1,0.91126853,41,0.00202289323070851
ENSG00000069011,PITX1,0.9108393,42,0.00207223208999408
ENSG00000215301,DDX3X,0.9104307,43,0.00212157094927965
ENSG00000124140,SLC12A5,0.9102967,44,0.00217090980856523
