gene_id	DosaCNV_HI_score
ENSG00000000419	0.09212542
ENSG00000000457	0.017763102
ENSG00000000460	0.030589996
ENSG00000000938	0.33497918
ENSG00000000971	0.1283754
ENSG00000001036	0.006914147
ENSG00000001084	0.3060714
ENSG00000001167	0.007710689
ENSG00000001460	0.07187615
ENSG00000001461	0.2572169
ENSG00000001561	0.009747877
ENSG00000001617	0.40735435
ENSG00000001626	0.6712752
ENSG00000001629	0.24257864
ENSG00000001630	0.14280671
ENSG00000001631	0.45256498
ENSG00000002016	0.007243492
ENSG00000002330	0.005330463
ENSG00000002549	0.015635347
ENSG00000002587	0.016949592
ENSG00000002726	0.05075386
ENSG00000002745	0.028383156
ENSG00000002746	0.610336
ENSG00000002822	0.09433983
ENSG00000002834	0.6115088
ENSG00000002919	0.005818073
ENSG00000002933	0.012911155
ENSG00000003056	0.016243238
ENSG00000003137	0.75340384
ENSG00000003147	0.053961653
ENSG00000003249	0.0035046772
ENSG00000003393	0.85201687
ENSG00000003400	0.023772359
ENSG00000003402	0.3779396
ENSG00000003436	0.008380116
ENSG00000003509	0.22047518
ENSG00000003756	0.14938608
ENSG00000003987	0.1172684
ENSG00000003989	0.0745512
ENSG00000004059	0.035979897
ENSG00000004139	0.0652845
ENSG00000004142	0.008558089
ENSG00000004399	0.24827491
ENSG00000004455	0.19772984
ENSG00000004468	0.0025081544
ENSG00000004478	0.033873644
ENSG00000004487	0.519651
ENSG00000004534	0.30887598
ENSG00000004660	0.0069964803
ENSG00000004700	0.10833321
ENSG00000004766	0.36972722
ENSG00000004776	0.009928189
ENSG00000004777	0.004555558
ENSG00000004779	0.018041288
ENSG00000004799	0.01125433
ENSG00000004809	0.019665333
ENSG00000004838	0.18803711
ENSG00000004846	0.0211938
ENSG00000004864	0.2116601
ENSG00000004866	0.51629984
ENSG00000004897	0.36543015
ENSG00000004939	0.59752476
ENSG00000004948	0.013040267
ENSG00000004975	0.20119384
ENSG00000005001	0.027489005
ENSG00000005007	0.7919198
ENSG00000005020	0.07614918
ENSG00000005059	0.0057104295
ENSG00000005073	0.73135954
ENSG00000005075	0.029968128
ENSG00000005100	0.02000912
ENSG00000005102	0.6441041
ENSG00000005108	0.45905444
ENSG00000005156	0.27366817
ENSG00000005175	0.03374341
ENSG00000005187	0.19273765
ENSG00000005189	0.041170288
ENSG00000005194	0.015183158
ENSG00000005206	0.0987741
ENSG00000005238	0.091934845
ENSG00000005243	0.0062873457
ENSG00000005249	0.1560493
ENSG00000005339	0.9008154
ENSG00000005379	0.05753833
ENSG00000005381	0.21528763
ENSG00000005421	0.023318397
ENSG00000005436	0.009411531
ENSG00000005448	0.012921889
ENSG00000005469	0.2530435
ENSG00000005471	0.64312446
ENSG00000005483	0.8679796
ENSG00000005486	0.021201212
ENSG00000005513	0.18339363
ENSG00000005700	0.029973617
ENSG00000005801	0.042609766
ENSG00000005810	0.15638466
ENSG00000005812	0.14954655
ENSG00000005844	0.013706917
ENSG00000005882	0.008078077
ENSG00000005884	0.2606912
ENSG00000005961	0.13030359
ENSG00000005981	0.014797061
ENSG00000006007	0.0077405395
ENSG00000006015	0.0037768392
ENSG00000006016	0.13125248
ENSG00000006025	0.0063554803
ENSG00000006042	0.16865517
ENSG00000006047	0.079306506
ENSG00000006059	0.0013162777
ENSG00000006062	0.40747166
ENSG00000006071	0.9139641
ENSG00000006116	0.5435029
ENSG00000006118	0.00979534
ENSG00000006125	0.511325
ENSG00000006128	0.06307464
ENSG00000006194	0.0072931256
ENSG00000006210	0.0020205239
ENSG00000006282	0.05595662
ENSG00000006283	0.8838081
ENSG00000006327	0.003810584
ENSG00000006377	0.8490251
ENSG00000006432	0.03745616
ENSG00000006451	0.5589936
ENSG00000006453	0.017315002
ENSG00000006459	0.28472054
ENSG00000006468	0.74558115
ENSG00000006530	0.33968407
ENSG00000006534	0.0064539374
ENSG00000006555	0.0106978305
ENSG00000006576	0.21875887
ENSG00000006606	0.0007749829
ENSG00000006607	0.1874224
ENSG00000006611	0.5453767
ENSG00000006625	0.0074744592
ENSG00000006634	0.30514264
ENSG00000006638	0.010755808
ENSG00000006652	0.050532427
ENSG00000006659	0.00068602955
ENSG00000006695	0.36445588
ENSG00000006704	0.17892325
ENSG00000006712	0.007332102
ENSG00000006715	0.19186665
ENSG00000006740	0.5422381
ENSG00000006744	0.23454477
ENSG00000006747	0.023517685
ENSG00000006788	0.08951719
ENSG00000006831	0.18181315
ENSG00000006837	0.029290479
ENSG00000007001	0.16948031
ENSG00000007038	0.024312679
ENSG00000007047	0.11517646
ENSG00000007062	0.3094124
ENSG00000007080	0.0057164975
ENSG00000007129	0.00040811746
ENSG00000007168	0.8830947
ENSG00000007171	0.012137001
ENSG00000007174	0.4058719
