gene_id,pLI,mis_z,lof_z,Num_coding_exons,LOEUF,Mis.OEUF,GTEx_mean_expression,Num_tissues_expressed,Num_paralogs,Num_interaction_partners,Num_transcript_isoforms,MetaLR_score,CADD_raw,DANN_score,Genic_phastCons100way,Genic_phastCons30way,sHet,GO_embryo_dev,Promoter_CpG_density,Promoter_phastCons100way,Exonic_phastCons100way,PPI_degree,Tissue_specificity_tau,Num_enhancers,H3K4me3,H2AZ,H3K27me3,H3K9ac,Presence_pathogenic_SNVs,CRISPR_HAP1_KO_qvalue,Percent_pathogenic_SNVs
ENSG00000130876,-0.68334133,0.25074779,0.07003163,0.09218727,-0.31245363,-0.30919982,-0.05950429,0.35680762,-0.24190265,-0.25214624,-0.35044183,2.47572153,0.79994519,0.69498281,0.7958471,0.67469744,-0.71179932,0,-0.34279105,-0.35347393,0.51083815,-0.08602718,0.69571498,0.16703791,0.08640005,-0.03605761,1.32839853,-0.37558217,0,0.45579937,0
ENSG00000197375,-0.68372146,-0.88631365,-1.04894236,-0.00968105,0.8761627,0.69974173,-0.04456088,0.42378236,0.00625261,-0.00966427,0.11850045,0.99111297,0.57068283,0.40209769,0.29493089,0.32739872,-0.74414076,0,0.71364443,-0.54064089,-0.26747338,1.13743758,0.11692047,-1.60855383,0.44893216,0.30727352,0.21401136,0.45219357,1,0.45579937,0.20251716
ENSG00000173715,-0.68372146,0.03273962,-0.25705582,0.70339719,0.07018313,-0.11820677,-0.04862342,0.42378236,-0.24190265,-0.25214624,1.29085616,-0.96770569,-0.67238298,0.10274348,-0.77991588,-0.42259501,-0.55911974,0,1.11790165,-0.88532144,-1.49746353,-0.69776,-0.5020759,0.83632972,0.31831325,0.40519234,0.24538454,0.24103152,1,0.45579937,0.05882353
ENSG00000163283,-0.68372146,-0.95698437,-0.90029216,0.09218727,0.74793868,0.73295791,-0.06473719,-2.2552069,0.13033024,1.68770956,-0.58491297,3.02722302,-0.86971116,-0.14530328,-0.45959942,-1.57379878,-0.72656227,0,-2.02710717,0.19017115,-1.11160485,2.46485457,2.04885244,-1.60855383,-2.03656762,-1.24261867,1.06189408,-1.52796747,0,0.45579937,0
ENSG00000123171,-0.65840635,-1.36356428,-0.98092894,-0.92649592,1.73506012,1.73359542,-0.05628278,-2.92495422,-0.24190265,0.63695433,-0.81938411,-1.04469609,-1.6923851,-0.94710666,-1.32235028,0.12181382,-0.76256838,0,0,0,0,1.49528275,2.33124566,-1.60855383,-2.23736399,0.00762599,0.7270759,-1.47636051,0,0.45579937,0
ENSG00000198643,-0.683061,-0.44999441,-0.30164477,-0.11154937,0.10478326,0.45892441,-0.04459833,0.35680762,-0.24190265,-0.25214624,-0.35044183,-0.6738047,-0.52452379,-0.67856316,-0.67690645,-0.83101609,-0.42777269,0,0,0,0,-0.69776,0.99632175,-0.75762649,-0.52657361,-0.49125915,0.66439139,-0.28767672,0,0.45579937,0
ENSG00000181374,-0.57146091,-0.53206999,-0.88130623,-0.72275928,1.67807166,0.95716715,-0.05975432,-0.58083862,0.37848549,-0.25214624,-0.70214854,-1.19785409,-1.70375528,-2.6836847,-2.36587768,-2.08668443,-0.77551389,0,0,0,0,-0.69776,0.30946549,-1.60855383,-2.04886875,-0.91443931,0.64135412,-1.93820427,0,0.45579937,0
ENSG00000185669,-0.64743337,-1.28184131,-0.46447588,-0.72275928,0.44060808,1.33500123,-0.06139138,0.42378236,-0.24190265,-0.25214624,-0.81938411,-0.83974831,-0.47309299,0.05671034,-0.53432358,-0.94727411,-0.77009137,0,0,0,0,-0.69776,0.14336978,0.13578961,0.3277285,0.21761398,1.08702256,0.23806209,0,0.45579937,0
ENSG00000211896,0,0,0,0,0,0,0.08182172,0.42378236,0.25440786,-0.25214624,-0.58491297,0,0,0,0,0,0,0,0.01739494,0.00510782,0.01973584,0.01128647,-0.00355435,0.02885296,0.03080062,0.02908363,0.00710898,0.02631501,0,-0.00653867,0
ENSG00000205236,0,0,0,0,0,0,0,0,0.25440786,-0.25214624,-0.81938411,-0.10672333,-1.50422879,0.09386156,-1.58634112,-1.71313391,0,0,0.01739494,0.00510782,0.01973584,0.01128647,-0.00355435,0.02885296,0.03080062,0.02908363,0.00710898,0.02631501,0,-0.00653867,0
