variant_id	DosaCNV_score
nssv15611572	0.00077211857
nssv15611580	0.22054124
nssv15611582	0.0031755567
nssv15611589	0.0027015805
nssv15611599	0.00015240908
nssv15611606	0.0945853
nssv15611608	0.006913662
nssv15611610	0.17982775
nssv15611615	0.012083232
nssv15611621	0.0054626465
nssv15611624	0.0945853
nssv15611636	0.007904172
nssv15611644	0.00013494492
nssv15611645	0.012450337
nssv15611654	0.016611516
nssv15611655	0.0945853
nssv15611659	0.17982775
nssv15611669	0.00013613701
nssv15611673	0.002448678
nssv15611681	0.003704667
nssv15611697	0.00013494492
nssv15611698	0.040200055
nssv15611699	0.012450337
nssv15611715	0.033307076
nssv15611726	0.002448678
nssv15611736	0.0010534525
nssv15611737	0.003704667
nssv15611739	0.06732553
nssv15611740	0.0031755567
nssv15611744	0.0027015805
nssv15611762	0.16410422
nssv15611764	0.00013613701
nssv15611766	0.022001624
nssv15611770	0.07849151
nssv15611771	0.0945853
nssv15611772	0.17982775
nssv15611775	0.0029084086
nssv15611780	0.051287413
nssv15611789	0.0064567327
nssv15611792	0.05035758
nssv15611794	0.00077211857
nssv15611795	0.0945853
nssv15611808	0.00013613701
nssv15611811	0.23433876
nssv15611814	0.34638005
nssv15611821	0.16140509
nssv15611826	0.00013494492
nssv15611842	0.00077211857
nssv15611848	0.0028389096
nssv15611861	0.17982775
nssv15611876	0.0945853
nssv15611880	0.0015184283
nssv15611883	0.00013613701
nssv15611885	0.0016500354
nssv15611889	0.0054626465
nssv15611899	0.0043620467
nssv15611912	0.011277616
nssv15611918	0.005675137
nssv15611931	0.00043427944
nssv15611943	0.0010480285
nssv15611956	0.018540978
nssv15611958	0.00019967556
nssv15611962	0.051287413
nssv15611963	0.1250549
nssv15611972	0.0945853
nssv15611975	0.004104376
nssv15611992	0.0023435354
nssv15611993	0.17982775
nssv15611994	0.00070887804
nssv15611995	0.32260615
nssv15611997	0.13650024
nssv15612008	0.0945853
nssv15612014	0.00057446957
nssv15612021	0.00070887804
nssv15612022	0.32260615
nssv15612025	0.00013613701
nssv15612036	0.17982775
nssv15612064	0.82674307
nssv15612071	0.15782094
nssv15612083	0.17645127
nssv15612096	0.9996899
nssv15612100	0.02003014
nssv15612119	0.0054626465
nssv15612130	0.17347127
nssv15612135	0.021299839
nssv15612152	0.00057446957
nssv15612181	0.0017954111
nssv15612186	0.029143095
nssv15612189	0.007904172
nssv15612212	0.0068435073
nssv15612218	0.057186604
nssv15612225	0.008642912
nssv15612231	0.07702482
nssv15612239	0.00057446957
nssv15612241	0.0064567327
nssv15612262	0.117260635
nssv15612268	0.0031755567
nssv15612273	0.07702482
